p1.x p1.y p2.x p2.y
0.046171 0.549724 0.097540 0.498364
0.097540 0.498364 0.126987 0.655098
0.126987 0.655098 0.046171 0.549724
0.126987 0.655098 0.031833 0.830829
0.031833 0.830829 0.034446 0.567822
0.034446 0.567822 0.126987 0.655098
0.035712 0.254282 0.034446 0.567822
0.031833 0.830829 0.035712 0.254282
0.035712 0.254282 0.709365 0.011902
0.709365 0.011902 0.489764 0.129906
0.489764 0.129906 0.035712 0.254282
0.097540 0.498364 0.171187 0.473289
0.171187 0.473289 0.126987 0.655098
0.035712 0.254282 0.046171 0.549724
0.046171 0.549724 0.034446 0.567822
0.097540 0.498364 0.035712 0.254282
0.035712 0.254282 0.171187 0.473289
0.171187 0.473289 0.276923 0.585264
0.276923 0.585264 0.126987 0.655098
0.126987 0.655098 0.157613 0.751267
0.157613 0.751267 0.031833 0.830829
0.157613 0.751267 0.097132 0.917194
0.097132 0.917194 0.031833 0.830829
0.157613 0.751267 0.276923 0.585264
0.276923 0.585264 0.317099 0.753729
0.317099 0.753729 0.157613 0.751267
0.157613 0.751267 0.141886 0.959291
0.141886 0.959291 0.097132 0.917194
0.392227 0.251084 0.489764 0.129906
0.489764 0.129906 0.546882 0.340386
0.546882 0.340386 0.392227 0.251084
0.171187 0.473289 0.392227 0.251084
0.392227 0.251084 0.421761 0.547216
0.421761 0.547216 0.171187 0.473289
0.421761 0.547216 0.276923 0.585264
0.278498 0.959744 0.141886 0.959291
0.157613 0.751267 0.278498 0.959744
0.317099 0.753729 0.445586 0.568824
0.445586 0.568824 0.485376 0.699077
0.485376 0.699077 0.317099 0.753729
0.317099 0.753729 0.278498 0.959744
0.489764 0.129906 0.632359 0.118998
0.632359 0.118998 0.546882 0.340386
0.035712 0.254282 0.392227 0.251084
0.445586 0.568824 0.546882 0.340386
0.546882 0.340386 0.646313 0.469391
0.646313 0.469391 0.445586 0.568824
0.421761 0.547216 0.445586 0.568824
0.445586 0.568824 0.276923 0.585264
0.546882 0.340386 0.421761 0.547216
0.655478 0.616045 0.485376 0.699077
0.445586 0.568824 0.655478 0.616045
0.485376 0.699077 0.278498 0.959744
0.632359 0.118998 0.709365 0.011902
0.709365 0.011902 0.792207 0.149294
0.792207 0.149294 0.632359 0.118998
0.632359 0.118998 0.743132 0.196595
0.743132 0.196595 0.546882 0.340386
0.709365 0.011902 0.970593 0.255095
0.970593 0.255095 0.792207 0.149294
0.646313 0.469391 0.706046 0.351660
0.706046 0.351660 0.757740 0.349984
0.757740 0.349984 0.646313 0.469391
0.646313 0.469391 0.655478 0.616045
0.655478 0.616045 0.694829 0.757200
0.694829 0.757200 0.485376 0.699077
0.694829 0.757200 0.655741 0.840717
0.655741 0.840717 0.485376 0.699077
0.655741 0.840717 0.278498 0.959744
0.694829 0.757200 0.795200 0.779167
0.795200 0.779167 0.655741 0.840717
0.678735 0.929264 0.278498 0.959744
0.655741 0.840717 0.678735 0.929264
0.765517 0.530798 0.655478 0.616045
0.646313 0.469391 0.765517 0.530798
0.655478 0.616045 0.795200 0.779167
0.706046 0.351660 0.743132 0.196595
0.743132 0.196595 0.757740 0.349984
0.546882 0.340386 0.706046 0.351660
0.709365 0.011902 0.709365 0.011902
0.814724 0.276025 0.743132 0.196595
0.743132 0.196595 0.792207 0.149294
0.792207 0.149294 0.814724 0.276025
0.757740 0.349984 0.823458 0.285839
0.823458 0.285839 0.950222 0.380446
0.950222 0.380446 0.757740 0.349984
0.757740 0.349984 0.765517 0.530798
0.950222 0.380446 0.765517 0.530798
0.765517 0.530798 0.795200 0.779167
0.970593 0.255095 0.933993 0.243525
0.933993 0.243525 0.792207 0.149294
0.795200 0.779167 0.800280 0.890903
0.800280 0.890903 0.655741 0.840717
0.765517 0.530798 0.905792 0.679703
0.905792 0.679703 0.795200 0.779167
0.800280 0.890903 0.678735 0.929264
0.823458 0.285839 0.933993 0.243525
0.933993 0.243525 0.950222 0.380446
0.814724 0.276025 0.757740 0.349984
0.814724 0.276025 0.823458 0.285839
0.814724 0.276025 0.933993 0.243525
0.849129 0.814285 0.800280 0.890903
0.795200 0.779167 0.849129 0.814285
0.905792 0.679703 0.849129 0.814285
0.970593 0.255095 0.959492 0.257508
0.959492 0.257508 0.933993 0.243525
0.950222 0.380446 0.970593 0.255095
0.970593 0.255095 0.957167 0.505957
0.957167 0.505957 0.950222 0.380446
0.957167 0.505957 0.765517 0.530798
0.957167 0.505957 0.905792 0.679703
0.950222 0.380446 0.959492 0.257508
